Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ME,IA,ROE,EG
1977-04,0.15,0.61,3.38,-2.01,1.14,0.38,4.21,1.3098,1.1605,0.3746,0.7834
1977-05,-1.45,1.31,0.85,0.33,0.19,0.37,2.03,1.4822,0.2215,1.7144,2.6935
1977-06,4.71,2.08,-0.74,0.91,-1.2,0.4,1.66,3.1075,-0.7125,2.3354,2.9427
1977-07,-1.69,1.88,-0.56,0.73,0.09,0.42,0.32,0.9981,1.0573,1.6654,2.4073
1977-08,-1.75,0.86,-2.7,0.98,-0.66,0.44,-1.7,-0.2601,-0.8401,1.421,-0.1136
1977-09,-0.27,1.43,-0.52,1.43,-0.84,0.43,2.0,1.4975,-0.0956,1.4313,1.5155
1977-10,-4.38,1.48,1.75,-0.2,-0.3,0.49,-0.08,1.4394,-0.6125,-1.0334,1.1568
1977-11,4.0,3.64,0.26,-0.13,0.73,0.5,2.01,4.6235,1.2408,2.6072,1.4818
1977-12,0.27,1.59,-0.29,0.92,-0.69,0.49,1.58,1.447,0.1312,1.3266,1.8425
1978-01,-6.01,2.72,3.36,-1.72,1.52,0.49,-0.66,2.3472,0.9316,-1.8024,0.1592
1978-02,-1.38,3.7,0.83,0.3,1.01,0.46,1.97,4.1208,1.3398,0.0059,1.6506
1978-03,2.85,3.71,1.18,-0.59,1.89,0.53,1.37,3.4262,2.4596,0.178,0.0973
1978-04,7.88,-0.26,-3.54,2.81,-1.26,0.54,0.86,-0.1618,-0.3298,5.6669,0.5831
1978-05,1.76,4.58,-0.52,0.22,0.41,0.51,2.83,3.7406,0.8051,0.4743,0.7376
1978-06,-1.69,1.56,0.57,-1.4,-0.07,0.54,2.74,1.4427,0.4821,1.3479,1.1232
1978-07,5.11,0.12,-1.15,1.55,-0.78,0.56,4.17,0.2704,0.3971,1.6329,2.6963
1978-08,3.75,4.95,-0.51,1.43,0.46,0.56,2.83,4.6893,1.196,2.0147,0.6661
1978-09,-1.43,-0.32,1.89,-0.67,1.78,0.62,-3.14,-0.8226,0.4468,-3.4045,-0.8352
1978-10,-11.91,-10.02,1.38,0.12,0.94,0.68,-8.46,-10.1883,-0.5956,-2.2443,0.9893
1978-11,2.71,2.81,-2.15,1.13,-1.17,0.7,5.45,4.1542,-0.8624,1.31,1.5057
1978-12,0.88,1.13,-2.13,2.01,-1.32,0.78,3.03,0.9674,-1.7856,1.9383,2.5046
1979-01,4.23,3.78,2.19,-2.47,1.52,0.77,-1.36,4.0118,2.1569,-0.7747,-1.3434
